site_id,region_id,issue_time,available_at,valid_time,signal,value,unit,source,quality,quantile
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T07:00:00Z,carbon_intensity,75,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T07:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T08:00:00Z,2026-08-01T07:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T08:00:00Z,carbon_intensity,59,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T08:00:00Z,carbon_intensity,66.5,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T08:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T09:00:00Z,2026-08-01T08:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T09:00:00Z,carbon_intensity,59.5,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T09:00:00Z,carbon_intensity,63.5,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T09:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T10:00:00Z,2026-08-01T09:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T10:00:00Z,carbon_intensity,55,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T10:00:00Z,carbon_intensity,62,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T10:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T11:00:00Z,2026-08-01T10:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T11:00:00Z,carbon_intensity,53,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T11:00:00Z,carbon_intensity,60.5,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T11:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T12:00:00Z,2026-08-01T11:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T12:00:00Z,carbon_intensity,53.5,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T12:00:00Z,carbon_intensity,61,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T12:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T13:00:00Z,2026-08-01T12:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T13:00:00Z,carbon_intensity,54.5,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T13:00:00Z,carbon_intensity,59,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T13:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T14:00:00Z,2026-08-01T13:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T14:00:00Z,carbon_intensity,57,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T14:00:00Z,carbon_intensity,63,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T14:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T15:00:00Z,2026-08-01T14:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T15:00:00Z,carbon_intensity,53.5,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T15:00:00Z,carbon_intensity,78,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T15:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T16:00:00Z,2026-08-01T15:00:00Z,energy_price,0.25,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T16:00:00Z,carbon_intensity,73,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T16:00:00Z,carbon_intensity,109.5,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T16:00:00Z,energy_price,0.45,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T17:00:00Z,2026-08-01T16:00:00Z,energy_price,0.45,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T17:00:00Z,carbon_intensity,112.5,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T17:00:00Z,carbon_intensity,141,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T17:00:00Z,energy_price,0.45,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T18:00:00Z,2026-08-01T17:00:00Z,energy_price,0.45,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T18:00:00Z,carbon_intensity,131,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T18:00:00Z,carbon_intensity,159,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T18:00:00Z,energy_price,0.45,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T19:00:00Z,2026-08-01T18:00:00Z,energy_price,0.45,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T19:00:00Z,carbon_intensity,163,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T19:00:00Z,carbon_intensity,172,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T19:00:00Z,energy_price,0.45,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T20:00:00Z,2026-08-01T19:00:00Z,energy_price,0.45,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T20:00:00Z,carbon_intensity,154,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T20:00:00Z,carbon_intensity,167.5,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T20:00:00Z,energy_price,0.18,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T21:00:00Z,2026-08-01T20:00:00Z,energy_price,0.18,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T21:00:00Z,carbon_intensity,168,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T21:00:00Z,carbon_intensity,160.5,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T21:00:00Z,energy_price,0.18,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T22:00:00Z,2026-08-01T21:00:00Z,energy_price,0.18,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T22:00:00Z,carbon_intensity,163.5,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T22:00:00Z,carbon_intensity,162,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T22:00:00Z,energy_price,0.18,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-01T23:00:00Z,2026-08-01T22:00:00Z,energy_price,0.18,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T23:00:00Z,carbon_intensity,172.5,gCO2e / kWh,neso-national-hourly-mean,forecast,
gb-london-reference,GB,,2026-08-06T12:46:02Z,2026-08-01T23:00:00Z,carbon_intensity,159.5,gCO2e / kWh,neso-national-hourly-mean,estimated,
gb-london-reference,GB,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T23:00:00Z,energy_price,0.18,GBP / kWh,declared-gb-time-of-use-scenario,forecast,
gb-london-reference,GB,,2026-08-02T00:00:00Z,2026-08-01T23:00:00Z,energy_price,0.18,GBP / kWh,declared-gb-time-of-use-scenario,estimated,
